text,correct,relevant,irrelevant,,
"Support: Air pollution causes acid rain, ozone depletion, and global warming. \n Question: What causes acid rain?",air pollution,carbon dioxide,lipids,,
"Support: Herbivores eat plants, carnivores eat meat, and omnivores eat both. \n Question: What do herbivores eat?",plants,minerals,common ancestor,,
Support: Examples of fungus-like protists include slime molds and water molds. \n Question: What are fungus like protists?,slime molds and water molds,lichen and kelp,internal skeleton,,
Support: An atom has negatively-charged electrons in orbit around its nucleus. \n Question: What orbits an atoms' nucleus?,negatively charged electrons,neutrally charged ions,insulin,,
Support: Sperm are produced in the testes in the process of spermatogenesis. \n Question: What process creates sperm?,spermatogensis,genesis,winds and weather,,
"Support: human body system that includes the skin, nails, and hair. \n Question: What is the largest human organ?",skin,stomach,more than one,,
Support: Flatworms can be free-living or parasitic. Tapeworms are parasitic flatworms. \n Question: Tapeworms are what type of flatworms?,parasitic,single-celled,shield,,
"Support: Fluid friction occurs in fluids, which are liquids or gases. \n Question: What two forms can fluids take?",liquid or gas,vapor or gas,gases,,
"Support: Gypsum, with its rose-like structure, is a chemical sedimentary rock. \n Question: What kind of rock is gypsum?",sedimentary,basalt,chemical change,,
"Support: The nucleus divides during mitosis, and the cytoplasm divides during cytokinesis. \n Question: When does the nucleus divide?",mitosis,meiosis,water,,
Support: Found as a pure element in nature; oxides decompose with heating. \n Question: What causes oxides to decompose?,heat,humidity,dead organic matter,,
Support: Sediments are deposited horizontally so sedimentary rock layers are originally horizontal. \n Question: What direction are sediments deposited?,horizontally,magnetic poles,equinox,,
Support: 4. State how phagocytosis helps defend the body from pathogens. \n Question: What does phagocytosis defend the body from?,pathogens,allergies,pillow lavas,,
Support: Mercury is extremely hot and has a liquid metal core. \n Question: What kind of core does mercury have?,liquid metal,solid metal,ice caps,,
Support: Humans have 23 pairs of chromosomes in each body cell. \n Question: How many pairs of chromosomes are there?,23,17,evaporation,,
"Support: In an earthquake, seismic waves are generated by rock displacement. \n Question: During an earthquake what causes seismic waves?",rock displacement,Currents,anions,,
Support: Ecosystems require constant inputs of energy from sunlight or chemicals. \n Question: What do ecosystems require constant inputs of?,energy,Water,pineal,,
"Support: Frozen precipitation may fall as snow, sleet, or freezing rain. \n Question: What three forms does frozen precipitation take?","snow, sleet, freezing rain","blizzard, frost, fog",fertilization,,
"Support: Hair and nails are made of keratin, a tough protein. \n Question: Hair and nails are made of what?",keratin,chromatin,lungs,,
Support: Coal is our largest source of energy for producing electricity. \n Question: What is our largest source of energy?,coal,wind,sedimentary rocks,,
Support: Usually mutations in multiple genes are necessary to develop cancer. \n Question: What is usually necessary to develop cancer?,multiple genes mutations,crucial genes mutations,male reproductive system,,
